dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe
addition_instances,M1,9,6109,6809010,add,1,Repair,10,500,19,0,0,0.0029096,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809010,add,1,Repair,10,1000,19,0,0,0.0029096,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809010,add,1,Repair,10,1500,19,0,0,0.0029096,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809010,add,1,Repair,10,2500,19,0,0,0.0029096,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809010,add,1,WarmPSO,10,500,497,77,0,0.3146921,5564.65733685039,5564.65733685039,0,1,3489.87731324602,0.594513742855497,1,78
addition_instances,M1,9,6109,6809010,add,1,WarmPSO,10,1000,977,77,0,0.3146921,5564.65733685039,5564.65733685039,0,1,3489.87731324602,0.594513742855497,1,78
addition_instances,M1,9,6109,6809010,add,1,WarmPSO,10,1500,1487,77,0,0.3146921,5425.61127141785,5425.61127141785,0,1,3489.87731324602,0.554671062740414,1,78
addition_instances,M1,9,6109,6809010,add,1,WarmPSO,10,2500,2477,77,0,0.3146921,5299.80248963061,5299.80248963061,0,1,3489.87731324602,0.518621433915434,1,78
addition_instances,M1,9,6109,6809010,add,1,WarmPSO_Relocate,10,500,492,77,175,0.3716713,4691.17810353631,4691.17810353631,0,1,3489.87731324602,0.344224361621736,1,78
addition_instances,M1,9,6109,6809010,add,1,WarmPSO_Relocate,10,1000,987,77,400,0.3716713,4043.64673158029,4043.64673158029,0,1,3489.87731324602,0.1586787639303,1,78
addition_instances,M1,9,6109,6809010,add,1,WarmPSO_Relocate,10,1500,1482,77,625,0.3716713,3512.48054836613,3512.48054836613,0,1,3489.87731324602,0.0064767993517483,1,78
addition_instances,M1,9,6109,6809010,add,1,WarmPSO_Relocate,10,2500,2472,77,1075,0.3716713,3434.1681209746,3434.1681209746,0,1,3489.87731324602,-0.015963080438378,1,78
addition_instances,M1,10,6110,6810001,add,1,Repair,1,500,19,0,0,0.0024815,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810001,add,1,Repair,1,1000,19,0,0,0.0024815,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810001,add,1,Repair,1,1500,19,0,0,0.0024815,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810001,add,1,Repair,1,2500,19,0,0,0.0024815,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810001,add,1,WarmPSO,1,500,496,76,0,0.3231232,5241.86365119359,5241.86365119359,0,1,3490.38557065644,0.501800745241951,1,77
addition_instances,M1,10,6110,6810001,add,1,WarmPSO,1,1000,976,76,0,0.3231232,5241.86365119359,5241.86365119359,0,1,3490.38557065644,0.501800745241951,1,77
