stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption
Far,5,8205,Repair,500,0,38,38,0.0034171,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,5,8205,Repair,1000,0,38,38,0.0038791,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,5,8205,Repair,1500,0,38,38,0.0032926,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,5,8205,Repair,2500,0,38,38,0.0033195,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Tight,1,8301,Restart,500,0,480,480,0.0489542,5432.0674449601,5432.0674449601,0,1,0.292954821001749,0.470588235294118
Tight,1,8301,Restart,1000,0,990,990,0.0997992,6042.01062707819,6042.01062707819,0,1,0.438135083553243,0.647058823529412
Tight,1,8301,Restart,1500,0,1500,1500,0.1641902,4715.8599026222,4715.8599026222,0,1,0.122481239057774,0.647058823529412
Tight,1,8301,Restart,2500,0,2490,2490,0.2542707,4797.10836403025,4797.10836403025,0,1,0.141820209153586,0.705882352941176
Tight,1,8301,WarmStart,500,200,300,500,0.0557291,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,1,8301,WarmStart,1000,200,780,980,0.0976192,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,1,8301,WarmStart,1500,200,1290,1490,0.1525641,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,1,8301,WarmStart,2500,200,2280,2480,0.2428484,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,1,8301,Repair,500,0,38,38,0.0042584,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,1,8301,Repair,1000,0,38,38,0.0032287,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,1,8301,Repair,1500,0,38,38,0.0032204,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,1,8301,Repair,2500,0,38,38,0.0032134,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,Restart,500,0,480,480,0.0572332,5872.70769391709,5872.70769391709,0,1,0.397837159078191,0.588235294117647
Tight,2,8302,Restart,1000,0,990,990,0.1074718,5900.80374591145,5900.80374591145,0,1,0.404524654446264,0.588235294117647
Tight,2,8302,Restart,1500,0,1500,1500,0.1442053,5165.68774943097,5165.68774943097,0,1,0.229550433070055,0.705882352941176
Tight,2,8302,Restart,2500,0,2490,2490,0.2521308,4113.27148095665,4113.27148095665,0,1,-0.0209484242825031,0.352941176470588
Tight,2,8302,WarmStart,500,200,300,500,0.0503835,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,WarmStart,1000,200,780,980,0.096571,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,WarmStart,1500,200,1290,1490,0.1514931,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,WarmStart,2500,200,2280,2480,0.2641934,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,Repair,500,0,38,38,0.0034295,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,Repair,1000,0,38,38,0.0030276,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,Repair,1500,0,38,38,0.0029942,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,2,8302,Repair,2500,0,38,38,0.0034141,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,3,8303,Restart,500,0,480,480,0.0495385,7156.56221134122,7156.56221134122,0,1,0.703423550371718,0.705882352941176
Tight,3,8303,Restart,1000,0,990,990,0.0981607,5533.3917674856,5533.3917674856,0,1,0.31707229977415,0.411764705882353
Tight,3,8303,Restart,1500,0,1500,1500,0.1611163,5089.60476273269,5089.60476273269,0,1,0.21144096269906,0.529411764705882
Tight,3,8303,Restart,2500,0,2490,2490,0.2534248,4457.39621116569,4457.39621116569,0,1,0.0609610390034347,0.705882352941176
Tight,3,8303,WarmStart,500,200,300,500,0.0506856,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,3,8303,WarmStart,1000,200,780,980,0.0959971,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,3,8303,WarmStart,1500,200,1290,1490,0.1477377,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
