instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.3,31,PSO,940203,25,775,775,2815.0537,0,NaN,974.1594,NaN,none
rc_201.3,31,Global,940203,25,775,775,5753.672,0,NaN,940.1331,NaN,global
rc_201.3,31,LateOnly,940203,25,775,775,2031.8597,0,NaN,966.5107,NaN,late
rc_201.3,31,Propagation,940203,25,775,775,1759.6211,0,NaN,1001.4742,NaN,propagation
rc_201.3,31,StateSwitch,940203,25,775,775,1759.6211,0,NaN,1001.4742,NaN,propagation
rc_201.3,31,PSO,940203,50,1550,1550,2127.442,0,NaN,1000.3162,NaN,none
rc_201.3,31,Global,940203,50,1550,1550,3280.0322,0,NaN,908.0437,NaN,global
rc_201.3,31,LateOnly,940203,50,1550,1550,39.1638999999999,0,NaN,886.31,NaN,late
rc_201.3,31,Propagation,940203,50,1550,1550,974.3102,0,NaN,950.6631,NaN,propagation
rc_201.3,31,StateSwitch,940203,50,1550,1550,974.3102,0,NaN,950.6631,NaN,propagation
rc_201.3,31,PSO,940203,100,3100,3100,2123.0511,0,NaN,985.7539,NaN,none
rc_201.3,31,Global,940203,100,3100,3100,1273.9043,0,NaN,868.8408,NaN,global
rc_201.3,31,LateOnly,940203,100,3100,3100,0,1,1838,834.1911,0.0551233857401248,late
rc_201.3,31,Propagation,940203,100,3100,3100,202.601,0,NaN,867.9535,NaN,propagation
rc_201.3,31,StateSwitch,940203,100,3100,3100,202.601,0,NaN,867.9535,NaN,propagation
rc_201.3,31,PSO,940204,25,775,775,4895.4975,0,NaN,1138.9098,NaN,none
rc_201.3,31,Global,940204,25,775,775,5552.1938,0,NaN,1096.9271,NaN,global
rc_201.3,31,LateOnly,940204,25,775,775,2112.535,0,NaN,973.908,NaN,late
rc_201.3,31,Propagation,940204,25,775,775,1845.7926,0,NaN,973.6646,NaN,propagation
rc_201.3,31,StateSwitch,940204,25,775,775,1845.7926,0,NaN,973.6646,NaN,propagation
rc_201.3,31,PSO,940204,50,1550,1550,2887.2236,0,NaN,933.2428,NaN,none
rc_201.3,31,Global,940204,50,1550,1550,3003.8043,0,NaN,973.1161,NaN,global
rc_201.3,31,LateOnly,940204,50,1550,1550,680.3048,0,NaN,880.8269,NaN,late
rc_201.3,31,Propagation,940204,50,1550,1550,26.3898,0,NaN,864.8068,NaN,propagation
rc_201.3,31,StateSwitch,940204,50,1550,1550,26.3898,0,NaN,864.8068,NaN,propagation
rc_201.3,31,PSO,940204,100,3100,3100,2779.2942,0,NaN,924.9531,NaN,none
rc_201.3,31,Global,940204,100,3100,3100,323.7423,0,NaN,861.9083,NaN,global
rc_201.3,31,LateOnly,940204,100,3100,3100,5.2754000000001,0,NaN,866.2693,NaN,late
rc_201.3,31,Propagation,940204,100,3100,3100,17.7405,0,NaN,853.1118,NaN,propagation
rc_201.3,31,StateSwitch,940204,100,3100,3100,17.7405,0,NaN,853.1118,NaN,propagation
rc_201.3,31,PSO,940205,25,775,775,6075.4809,0,NaN,1175.7795,NaN,none
rc_201.3,31,Global,940205,25,775,775,7752.9892,0,NaN,1057.4534,NaN,global
rc_201.3,31,LateOnly,940205,25,775,775,1944.531,0,NaN,886.7685,NaN,late
rc_201.3,31,Propagation,940205,25,775,775,1944.531,0,NaN,886.7685,NaN,propagation
