level,instance,scenario_seed,algorithm_seed,budget,strategy,event_time,event_size,oracle_status,reference_cost,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
M1,7,6107,8800,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,480,480,0.0436379,5329.37116426091,5329.37116426091,0,0,1,0.526585859517626,0.529411764705882,0.526585859517623,3491.03925667496
M1,7,6107,9300,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,990,990,0.0963883,5183.66683740174,5183.66683740174,0,0,1,0.484849197123877,0.529411764705882,0.484849197123874,3491.03925667496
M1,7,6107,9800,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,1500,1500,0.1216939,4398.05404901509,4398.05404901509,0,0,1,0.25981225808501,0.588235294117647,0.259812258085008,3491.03925667496
M1,7,6107,10800,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,2490,2490,0.2010545,5205.80494862765,5205.80494862765,0,0,1,0.491190607116209,0.529411764705882,0.491190607116208,3491.03925667496
M1,7,6107,8800,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,77,420,497,0.0403874,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,7,6107,9300,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,77,900,977,0.0798113,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,7,6107,9800,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,78,1410,1488,0.1202557,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,7,6107,10800,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,78,2400,2478,0.1946437,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,7,6107,8800,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,19,19,0.0014563,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,7,6107,9300,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,19,19,0.0013676,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,7,6107,9800,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,19,19,0.0013609,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,7,6107,10800,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.03925667496,0,19,19,0.0013606,3491.03925667496,3491.03925667496,0,0,1,0,0,0,3491.03925667496
M1,8,6108,8900,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,480,480,0.0392613,6240.93629202549,6240.93629202549,0,0,1,0.78738673992186,0.705882352941176,0.787386739921862,3491.65412981542
M1,8,6108,9400,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,990,990,0.0798092,4662.99311353429,4662.99311353429,0,0,1,0.335468216544344,0.705882352941176,0.335468216544343,3491.65412981542
M1,8,6108,9900,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,1500,1500,0.1215693,5054.23078775902,5054.23078775902,0,0,1,0.44751759476996,0.764705882352941,0.447517594769962,3491.65412981542
M1,8,6108,10900,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,2490,2490,0.2171179,5100.70064224531,5100.70064224531,0,0,1,0.460826431429779,0.588235294117647,0.460826431429779,3491.65412981542
M1,8,6108,8900,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,77,420,497,0.040565,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,8,6108,9400,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,78,900,978,0.077551,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,8,6108,9900,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,76,1410,1486,0.1193626,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,8,6108,10900,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,77,2400,2477,0.1941315,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,8,6108,8900,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,19,19,0.0014258,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,8,6108,9400,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,19,19,0.0015627,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,8,6108,9900,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,19,19,0.0014313,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,8,6108,10900,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3491.65412981542,0,19,19,0.0014097,3491.65412981542,3491.65412981542,0,0,1,0,0,0,3491.65412981542
M1,9,6109,9000,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,480,480,0.0402811,4891.62707583806,4891.62707583806,0,0,1,0.401661616375917,0.529411764705882,0.463902420611068,3341.49804451869
M1,9,6109,9500,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,990,990,0.081234,4903.37102231535,4903.37102231535,0,0,1,0.4050267623175,0.470588235294118,0.467416995906587,3341.49804451869
M1,9,6109,10000,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,1500,1500,0.1184411,4882.80895489886,4882.80895489886,0,0,1,0.399134845332784,0.764705882352941,0.461263448263421,3341.49804451869
M1,9,6109,11000,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,2490,2490,0.198195,4756.32546815736,4756.32546815736,0,0,1,0.362891884509654,0.647058823529412,0.423411118243662,3341.49804451869
M1,9,6109,9000,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,78,420,498,0.0403962,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,9,6109,9500,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,75,900,975,0.0814341,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,9,6109,10000,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,78,1410,1488,0.1236233,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,9,6109,11000,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,77,2400,2477,0.1994901,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,9,6109,9000,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,19,19,0.0015414,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,9,6109,9500,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,19,19,0.0014397,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,9,6109,10000,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,19,19,0.0014506,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,9,6109,11000,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.87731324602,0,19,19,0.0014426,3489.87731324602,3489.87731324602,0,0,1,0,0,0.0444050143829135,3341.49804451869
M1,10,6110,9100,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,480,480,0.0394753,5377.10370903303,5377.10370903303,0,0,1,0.540547197489634,0.529411764705882,0.561764321861765,3442.96743994192
M1,10,6110,9600,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,990,990,0.0868964,4957.84962288102,4957.84962288102,0,0,1,0.420430357196497,0.411764705882353,0.439993177212461,3442.96743994192
M1,10,6110,10100,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,1500,1500,0.1250441,3640.45729260647,3640.45729260647,0,0,1,0.0429957432816829,0.470588235294118,0.0573603602443251,3442.96743994192
M1,10,6110,11100,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,2490,2490,0.2024661,4540.72484640121,4540.72484640121,0,0,1,0.300923566890414,0.647058823529412,0.318840484439147,3442.96743994192
M1,10,6110,9100,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,77,420,497,0.0415622,3490.38557065644,3490.38557065644,0,0,1,0,0,0.0137724598160359,3442.96743994192
M1,10,6110,9600,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,76,900,976,0.0775023,3490.38557065644,3490.38557065644,0,0,1,0,0,0.0137724598160359,3442.96743994192
M1,10,6110,10100,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,78,1410,1488,0.1186376,3490.38557065644,3490.38557065644,0,0,1,0,0,0.0137724598160359,3442.96743994192
M1,10,6110,11100,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,78,2400,2478,0.1969459,3442.96743994192,3442.96743994192,0,0,1,-0.0135853560458086,0.0588235294117647,0,3442.96743994192
M1,10,6110,9100,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,19,19,0.0014614,3490.38557065644,3490.38557065644,0,0,1,0,0,0.0137724598160359,3442.96743994192
M1,10,6110,9600,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,19,19,0.0013999,3490.38557065644,3490.38557065644,0,0,1,0,0,0.0137724598160359,3442.96743994192
M1,10,6110,10100,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,19,19,0.0013533,3490.38557065644,3490.38557065644,0,0,1,0,0,0.0137724598160359,3442.96743994192
M1,10,6110,11100,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.38557065644,0,19,19,0.0013502,3490.38557065644,3490.38557065644,0,0,1,0,0,0.0137724598160359,3442.96743994192
M2,1,6201,8200,500,Restart,90,2,KNOWN_FEASIBLE_WITNESS,3492.50282253429,0,480,480,0.0407,5207.8464464855,5207.8464464855,0,0,1,0.491150247004377,0.588235294117647,0.49115024700438,3492.50282253429
M2,1,6201,8700,1000,Restart,90,2,KNOWN_FEASIBLE_WITNESS,3492.50282253429,0,990,990,0.0861641,5285.43824534954,5285.43824534954,0,0,1,0.513366921637653,0.470588235294118,0.513366921637655,3492.50282253429
M2,1,6201,9200,1500,Restart,90,2,KNOWN_FEASIBLE_WITNESS,3492.50282253429,0,1500,1500,0.1252714,4548.25984853787,4548.25984853787,0,0,1,0.30229239019984,0.470588235294118,0.302292390199841,3492.50282253429
M2,1,6201,10200,2500,Restart,90,2,KNOWN_FEASIBLE_WITNESS,3492.50282253429,0,2490,2490,0.2092467,4864.68660709508,4864.68660709508,0,0,1,0.392894108977434,0.764705882352941,0.392894108977436,3492.50282253429
M2,1,6201,8200,500,WarmStart,90,2,KNOWN_FEASIBLE_WITNESS,3492.50282253429,200,300,500,0.0479462,3492.50282253429,3492.50282253429,0,0,1,0,0,0,3492.50282253429
