level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Moderate,2,3002,7910,1,90,cancel,2,WarmStart,500,FEASIBLE,3294.84254423832,225,47,46,450,496,0.0354687,4240.93906527043,4240.93906527043,0,0,1,0.287144683950543,0.2
Moderate,2,3002,8410,1,90,cancel,2,WarmStart,1000,FEASIBLE,3294.84254423832,225,47,41,930,971,0.0703349,3890.18105555885,3890.18105555885,0,0,1,0.180688000512073,0.333333333333333
Moderate,2,3002,8910,1,90,cancel,2,WarmStart,1500,FEASIBLE,3294.84254423832,225,47,47,1440,1487,0.1073302,4351.99968363142,4111.47210836835,2.4052757526307,0,0,0.32085209693609,0.266666666666667
Moderate,2,3002,9910,1,90,cancel,2,WarmStart,2500,FEASIBLE,3294.84254423832,225,47,43,2430,2473,0.1766142,4058.28709193349,4058.28709193349,0,0,1,0.231708962551248,0.266666666666667
Moderate,2,3002,7910,1,90,cancel,2,Repair,500,FEASIBLE,3294.84254423832,225,47,0,1,1,0.0001069,7100.4268288327,4495.54856076684,26.0487826806586,0,0,1.15501248800165,0
Moderate,2,3002,8410,1,90,cancel,2,Repair,1000,FEASIBLE,3294.84254423832,225,47,0,1,1,7.75e-05,7100.4268288327,4495.54856076684,26.0487826806586,0,0,1.15501248800165,0
Moderate,2,3002,8910,1,90,cancel,2,Repair,1500,FEASIBLE,3294.84254423832,225,47,0,1,1,7.46e-05,7100.4268288327,4495.54856076684,26.0487826806586,0,0,1.15501248800165,0
Moderate,2,3002,9910,1,90,cancel,2,Repair,2500,FEASIBLE,3294.84254423832,225,47,0,1,1,7.36e-05,7100.4268288327,4495.54856076684,26.0487826806586,0,0,1.15501248800165,0
Moderate,2,3002,7920,2,150,add,2,Restart,500,UNKNOWN,,196,110,0,480,480,0.0378577,33225.6664832733,5125.00409200465,281.006623912687,0,0,NaN,0.642857142857143
Moderate,2,3002,8420,2,150,add,2,Restart,1000,UNKNOWN,,196,110,0,990,990,0.0772174,27177.2611792511,5246.77411748437,219.304870617667,0,0,NaN,0.357142857142857
Moderate,2,3002,8920,2,150,add,2,Restart,1500,UNKNOWN,,196,110,0,1500,1500,0.1156808,24881.0717505527,4728.35842418822,201.527133263645,0,0,NaN,0.571428571428571
Moderate,2,3002,9920,2,150,add,2,Restart,2500,UNKNOWN,,196,110,0,2490,2490,0.1828917,23933.1921195088,4691.74568391663,192.414464355922,0,0,NaN,0.5
