dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,impact_preprocess_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe,impact_priority_fe,impact_global_fe,improvement_per_100_local_fe,mean_accepted_source_rank
addition_instances,M1,9,6109,6809005,add,1,Repair,5,1000,19,0,0,0,0.0040905,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809005,add,1,Repair,5,1500,19,0,0,0,0.0040905,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809005,add,1,Repair,5,2500,19,0,0,0,0.0040905,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,500,493,73,0,0,0.2042518,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,74,NaN,NaN,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,1000,973,73,0,0,0.2042518,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,74,NaN,NaN,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,1500,1483,73,0,0,0.2042518,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,74,NaN,NaN,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,2500,2473,73,0,0,0.2042518,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,74,NaN,NaN,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_GlobalRelocate,5,500,488,73,0,175,0.2366849,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,74,NaN,NaN,0.186046511627907,1.5
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_GlobalRelocate,5,1000,983,73,0,400,0.2366849,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,74,NaN,NaN,0.186046511627907,1.5
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_GlobalRelocate,5,1500,1478,73,0,625,0.2366849,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,74,NaN,NaN,0.186046511627907,1.5
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_GlobalRelocate,5,2500,2468,73,0,1075,0.2366849,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,74,NaN,NaN,0.186046511627907,1.5
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_ImpactRelocate,5,500,453,73,20,150,0.2347706,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,94,1075,0,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_ImpactRelocate,5,1000,948,73,20,375,0.2347706,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,94,1075,0,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_ImpactRelocate,5,1500,1498,73,20,625,0.2347706,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,94,1075,0,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_ImpactRelocate,5,2500,2488,73,20,1075,0.2347706,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,94,1075,0,0,NaN
addition_instances,M1,9,6109,6809006,add,1,Repair,6,500,19,0,0,0,0.0014555,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809006,add,1,Repair,6,1000,19,0,0,0,0.0014555,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809006,add,1,Repair,6,1500,19,0,0,0,0.0014555,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809006,add,1,Repair,6,2500,19,0,0,0,0.0014555,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
