instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,feedback_updates
rc_201.1,19,PSO,980110,50,950,950,2632.7894,0,NaN,666.9598,NaN,0
rc_201.1,19,FixedRelocate,980110,50,950,950,334.7076,0,NaN,533.7723,NaN,0
rc_201.1,19,StateSwitch,980110,50,950,950,0,1,477,452.7116,0.0183821478382147,0
rc_201.1,19,Feedback,980110,50,950,950,334.7076,0,NaN,533.7723,NaN,14
rc_201.1,19,Full,980110,50,950,950,0,1,477,452.7116,0.0183821478382147,19
rc_201.1,19,PSO,980110,100,1900,1900,2632.7894,0,NaN,666.9598,NaN,0
rc_201.1,19,FixedRelocate,980110,100,1900,1900,0,1,1488,445.3805,0.00189071849552338,0
rc_201.1,19,StateSwitch,980110,100,1900,1900,0,1,477,445.3805,0.00189071849552338,0
rc_201.1,19,Feedback,980110,100,1900,1900,0,1,1488,445.3805,0.00189071849552338,18
rc_201.1,19,Full,980110,100,1900,1900,0,1,477,445.3805,0.00189071849552338,19
rc_201.3,31,PSO,980201,25,775,775,6516.3312,0,NaN,1108.7956,NaN,0
rc_201.3,31,FixedRelocate,980201,25,775,775,6006.8608,0,NaN,1136.3965,NaN,0
rc_201.3,31,StateSwitch,980201,25,775,775,2335.4012,0,NaN,1041.8048,NaN,0
rc_201.3,31,Feedback,980201,25,775,775,6006.8608,0,NaN,1136.3965,NaN,13
rc_201.3,31,Full,980201,25,775,775,2335.4012,0,NaN,1041.8048,NaN,15
rc_201.3,31,PSO,980201,50,1550,1550,5274.6372,0,NaN,1043.6756,NaN,0
rc_201.3,31,FixedRelocate,980201,50,1550,1550,2442.7904,0,NaN,949.2072,NaN,0
rc_201.3,31,StateSwitch,980201,50,1550,1550,203.0632,0,NaN,894.5165,NaN,0
rc_201.3,31,Feedback,980201,50,1550,1550,2442.7904,0,NaN,949.2072,NaN,24
rc_201.3,31,Full,980201,50,1550,1550,203.0632,0,NaN,894.5165,NaN,25
rc_201.3,31,PSO,980201,100,3100,3100,5274.6372,0,NaN,1043.6756,NaN,0
rc_201.3,31,FixedRelocate,980201,100,3100,3100,1474.487,0,NaN,924.2774,NaN,0
rc_201.3,31,StateSwitch,980201,100,3100,3100,141.4151,0,NaN,905.9561,NaN,0
rc_201.3,31,Feedback,980201,100,3100,3100,1474.487,0,NaN,924.2774,NaN,34
rc_201.3,31,Full,980201,100,3100,3100,141.4151,0,NaN,905.9561,NaN,28
rc_201.3,31,PSO,980202,25,775,775,4754.0646,0,NaN,1040.572,NaN,0
rc_201.3,31,FixedRelocate,980202,25,775,775,6712.5254,0,NaN,965.1894,NaN,0
rc_201.3,31,StateSwitch,980202,25,775,775,1297.8982,0,NaN,949.0404,NaN,0
rc_201.3,31,Feedback,980202,25,775,775,6712.5254,0,NaN,965.1894,NaN,12
rc_201.3,31,Full,980202,25,775,775,1297.8982,0,NaN,949.0404,NaN,15
rc_201.3,31,PSO,980202,50,1550,1550,4333.1937,0,NaN,982.6986,NaN,0
rc_201.3,31,FixedRelocate,980202,50,1550,1550,3572.5992,0,NaN,964.4871,NaN,0
rc_201.3,31,StateSwitch,980202,50,1550,1550,407.6036,0,NaN,949.8979,NaN,0
rc_201.3,31,Feedback,980202,50,1550,1550,3572.5992,0,NaN,964.4871,NaN,24
rc_201.3,31,Full,980202,50,1550,1550,407.6036,0,NaN,949.8979,NaN,24
rc_201.3,31,PSO,980202,100,3100,3100,4333.1937,0,NaN,982.6986,NaN,0
rc_201.3,31,FixedRelocate,980202,100,3100,3100,815.1808,0,NaN,929.8145,NaN,0
rc_201.3,31,StateSwitch,980202,100,3100,3100,0.113699999999994,0,NaN,827.9881,NaN,0
rc_201.3,31,Feedback,980202,100,3100,3100,815.1808,0,NaN,929.8145,NaN,36
rc_201.3,31,Full,980202,100,3100,3100,0.113699999999994,0,NaN,827.9881,NaN,31
rc_201.3,31,PSO,980203,25,775,775,4561.4001,0,NaN,1021.8132,NaN,0
rc_201.3,31,FixedRelocate,980203,25,775,775,4226.6531,0,NaN,952.6856,NaN,0
rc_201.3,31,StateSwitch,980203,25,775,775,479.1415,0,NaN,961.174,NaN,0
rc_201.3,31,Feedback,980203,25,775,775,4226.6531,0,NaN,952.6856,NaN,14
rc_201.3,31,Full,980203,25,775,775,479.1415,0,NaN,961.174,NaN,15
rc_201.3,31,PSO,980203,50,1550,1550,4435.6187,0,NaN,972.4475,NaN,0
rc_201.3,31,FixedRelocate,980203,50,1550,1550,2340.1642,0,NaN,940.6278,NaN,0
rc_201.3,31,StateSwitch,980203,50,1550,1550,0,1,1087,808.896,0.0231289763600257,0
rc_201.3,31,Feedback,980203,50,1550,1550,2340.1642,0,NaN,940.6278,NaN,23
rc_201.3,31,Full,980203,50,1550,1550,0,1,1087,808.896,0.0231289763600257,24
rc_201.3,31,PSO,980203,100,3100,3100,4385.2071,0,NaN,950.1087,NaN,0
rc_201.3,31,FixedRelocate,980203,100,3100,3100,672.3944,0,NaN,871.803,NaN,0
rc_201.3,31,StateSwitch,980203,100,3100,3100,0,1,1087,790.6069,-3.92102300757345e-06,0
rc_201.3,31,Feedback,980203,100,3100,3100,672.3944,0,NaN,871.803,NaN,39
rc_201.3,31,Full,980203,100,3100,3100,0,1,1087,790.6069,-3.92102300757345e-06,26
rc_201.3,31,PSO,980204,25,775,775,5326.6237,0,NaN,1060.1711,NaN,0
rc_201.3,31,FixedRelocate,980204,25,775,775,6227.2797,0,NaN,1193.2456,NaN,0
rc_201.3,31,StateSwitch,980204,25,775,775,2470.2426,0,NaN,1006.032,NaN,0
rc_201.3,31,Feedback,980204,25,775,775,6227.2797,0,NaN,1193.2456,NaN,12
rc_201.3,31,Full,980204,25,775,775,2470.2426,0,NaN,1006.032,NaN,15
rc_201.3,31,PSO,980204,50,1550,1550,4247.6009,0,NaN,1007.6875,NaN,0
rc_201.3,31,FixedRelocate,980204,50,1550,1550,2731.5229,0,NaN,1023.3342,NaN,0
rc_201.3,31,StateSwitch,980204,50,1550,1550,138.0951,0,NaN,865.5685,NaN,0
rc_201.3,31,Feedback,980204,50,1550,1550,2731.5229,0,NaN,1023.3342,NaN,22
rc_201.3,31,Full,980204,50,1550,1550,138.0951,0,NaN,865.5685,NaN,22
rc_201.3,31,PSO,980204,100,3100,3100,4247.6009,0,NaN,1007.6875,NaN,0
rc_201.3,31,FixedRelocate,980204,100,3100,3100,632.3434,0,NaN,895.1866,NaN,0
rc_201.3,31,StateSwitch,980204,100,3100,3100,112.6294,0,NaN,850.4441,NaN,0
rc_201.3,31,Feedback,980204,100,3100,3100,632.3434,0,NaN,895.1866,NaN,33
rc_201.3,31,Full,980204,100,3100,3100,112.6294,0,NaN,850.4441,NaN,22
rc_201.3,31,PSO,980205,25,775,775,4051.784,0,NaN,1029.7044,NaN,0
rc_201.3,31,FixedRelocate,980205,25,775,775,4007.6604,0,NaN,1104.2165,NaN,0
rc_201.3,31,StateSwitch,980205,25,775,775,1281.8278,0,NaN,926.572,NaN,0
rc_201.3,31,Feedback,980205,25,775,775,4007.6604,0,NaN,1104.2165,NaN,13
rc_201.3,31,Full,980205,25,775,775,1281.8278,0,NaN,926.572,NaN,15
rc_201.3,31,PSO,980205,50,1550,1550,1749.5586,0,NaN,967.1842,NaN,0
rc_201.3,31,FixedRelocate,980205,50,1550,1550,721.7338,0,NaN,924.1508,NaN,0
rc_201.3,31,StateSwitch,980205,50,1550,1550,522.737200000001,0,NaN,900.4174,NaN,0
rc_201.3,31,Feedback,980205,50,1550,1550,721.7338,0,NaN,924.1508,NaN,25
rc_201.3,31,Full,980205,50,1550,1550,522.737200000001,0,NaN,900.4174,NaN,23
rc_201.3,31,PSO,980205,100,3100,3100,1653.1059,0,NaN,931.2414,NaN,0
rc_201.3,31,FixedRelocate,980205,100,3100,3100,17.7602,0,NaN,836.8568,NaN,0
rc_201.3,31,StateSwitch,980205,100,3100,3100,224.5988,0,NaN,855.6617,NaN,0
rc_201.3,31,Feedback,980205,100,3100,3100,17.7602,0,NaN,836.8568,NaN,30
rc_201.3,31,Full,980205,100,3100,3100,224.5988,0,NaN,855.6617,NaN,27
rc_201.3,31,PSO,980206,25,775,775,3530.6808,0,NaN,1027.0833,NaN,0
rc_201.3,31,FixedRelocate,980206,25,775,775,6041.9196,0,NaN,1037.70914,NaN,0
rc_201.3,31,StateSwitch,980206,25,775,775,2022.6687,0,NaN,1055.9325,NaN,0
rc_201.3,31,Feedback,980206,25,775,775,6041.9196,0,NaN,1037.70914,NaN,10
rc_201.3,31,Full,980206,25,775,775,2022.6687,0,NaN,1055.9325,NaN,15
rc_201.3,31,PSO,980206,50,1550,1550,2477.7973,0,NaN,907.5535,NaN,0
rc_201.3,31,FixedRelocate,980206,50,1550,1550,1763.1942,0,NaN,923.2746,NaN,0
rc_201.3,31,StateSwitch,980206,50,1550,1550,539.475,0,NaN,899.6523,NaN,0
rc_201.3,31,Feedback,980206,50,1550,1550,1763.1942,0,NaN,923.2746,NaN,20
rc_201.3,31,Full,980206,50,1550,1550,539.475,0,NaN,899.6523,NaN,24
rc_201.3,31,PSO,980206,100,3100,3100,2477.7973,0,NaN,907.5535,NaN,0
rc_201.3,31,FixedRelocate,980206,100,3100,3100,78.7855000000001,0,NaN,863.9034,NaN,0
rc_201.3,31,StateSwitch,980206,100,3100,3100,0,1,2287,796.9693,0.00804353600384494,0
rc_201.3,31,Feedback,980206,100,3100,3100,78.7855000000001,0,NaN,863.9034,NaN,37
rc_201.3,31,Full,980206,100,3100,3100,0,1,2287,796.9693,0.00804353600384494,32
rc_201.3,31,PSO,980207,25,775,775,5508.0372,0,NaN,1023.7427,NaN,0
rc_201.3,31,FixedRelocate,980207,25,775,775,5003.0513,0,NaN,1022.6772,NaN,0
rc_201.3,31,StateSwitch,980207,25,775,775,1498.5908,0,NaN,999.9116,NaN,0
rc_201.3,31,Feedback,980207,25,775,775,5003.0513,0,NaN,1022.6772,NaN,13
rc_201.3,31,Full,980207,25,775,775,1498.5908,0,NaN,999.9116,NaN,15
rc_201.3,31,PSO,980207,50,1550,1550,4821.52,0,NaN,1000.374,NaN,0
rc_201.3,31,FixedRelocate,980207,50,1550,1550,1255.3023,0,NaN,984.6234,NaN,0
rc_201.3,31,StateSwitch,980207,50,1550,1550,297.9431,0,NaN,855.8999,NaN,0
rc_201.3,31,Feedback,980207,50,1550,1550,1255.3023,0,NaN,984.6234,NaN,23
rc_201.3,31,Full,980207,50,1550,1550,297.9431,0,NaN,855.8999,NaN,22
rc_201.3,31,PSO,980207,100,3100,3100,4452.7985,0,NaN,1001.1535,NaN,0
rc_201.3,31,FixedRelocate,980207,100,3100,3100,462.367,0,NaN,907.4261,NaN,0
rc_201.3,31,StateSwitch,980207,100,3100,3100,39.9831,0,NaN,867.697,NaN,0
rc_201.3,31,Feedback,980207,100,3100,3100,462.367,0,NaN,907.4261,NaN,32
rc_201.3,31,Full,980207,100,3100,3100,39.9831,0,NaN,867.697,NaN,26
rc_201.3,31,PSO,980208,25,775,775,7631.9753,0,NaN,1130.9642,NaN,0
rc_201.3,31,FixedRelocate,980208,25,775,775,7147.2242,0,NaN,1021.62064,NaN,0
rc_201.3,31,StateSwitch,980208,25,775,775,2251.1812,0,NaN,953.0236,NaN,0
rc_201.3,31,Feedback,980208,25,775,775,7147.2242,0,NaN,1021.62064,NaN,12
rc_201.3,31,Full,980208,25,775,775,2251.1812,0,NaN,953.0236,NaN,15
rc_201.3,31,PSO,980208,50,1550,1550,7104.8875,0,NaN,1104.4314,NaN,0
rc_201.3,31,FixedRelocate,980208,50,1550,1550,3271.6522,0,NaN,1024.4185,NaN,0
rc_201.3,31,StateSwitch,980208,50,1550,1550,0,1,1269,823.5465,0.0416596046090992,0
rc_201.3,31,Feedback,980208,50,1550,1550,3271.6522,0,NaN,1024.4185,NaN,20
rc_201.3,31,Full,980208,50,1550,1550,0,1,1269,823.5465,0.0416596046090992,26
rc_201.3,31,PSO,980208,100,3100,3100,7104.8875,0,NaN,1076.257,NaN,0
rc_201.3,31,FixedRelocate,980208,100,3100,3100,103.9412,0,NaN,859.8777,NaN,0
rc_201.3,31,StateSwitch,980208,100,3100,3100,0,1,1269,808.7929,0.0229985707238715,0
rc_201.3,31,Feedback,980208,100,3100,3100,103.9412,0,NaN,859.8777,NaN,37
rc_201.3,31,Full,980208,100,3100,3100,0,1,1269,808.7929,0.0229985707238715,30
rc_201.3,31,PSO,980209,25,775,775,3579.5805,0,NaN,1038.395,NaN,0
rc_201.3,31,FixedRelocate,980209,25,775,775,7291.3429,0,NaN,1035.8551,NaN,0
rc_201.3,31,StateSwitch,980209,25,775,775,2281.6463,0,NaN,1041.2419,NaN,0
rc_201.3,31,Feedback,980209,25,775,775,7291.3429,0,NaN,1035.8551,NaN,13
rc_201.3,31,Full,980209,25,775,775,2281.6463,0,NaN,1041.2419,NaN,15
rc_201.3,31,PSO,980209,50,1550,1550,3368.0893,0,NaN,1036.3125,NaN,0
rc_201.3,31,FixedRelocate,980209,50,1550,1550,3032.1925,0,NaN,999.1714,NaN,0
rc_201.3,31,StateSwitch,980209,50,1550,1550,1.99349999999993,0,NaN,883.6594,NaN,0
rc_201.3,31,Feedback,980209,50,1550,1550,3032.1925,0,NaN,999.1714,NaN,26
rc_201.3,31,Full,980209,50,1550,1550,1.99349999999993,0,NaN,883.6594,NaN,30
rc_201.3,31,PSO,980209,100,3100,3100,3361.1491,0,NaN,1031.9704,NaN,0
rc_201.3,31,FixedRelocate,980209,100,3100,3100,1089.1027,0,NaN,947.0225,NaN,0
rc_201.3,31,StateSwitch,980209,100,3100,3100,0,1,1977,837.0595,0.0587514703836276,0
rc_201.3,31,Feedback,980209,100,3100,3100,1089.1027,0,NaN,947.0225,NaN,45
rc_201.3,31,Full,980209,100,3100,3100,0,1,1977,837.0595,0.0587514703836276,34
rc_201.3,31,PSO,980210,25,775,775,5078.2154,0,NaN,994.898,NaN,0
rc_201.3,31,FixedRelocate,980210,25,775,775,4309.2976,0,NaN,1085.8489,NaN,0
rc_201.3,31,StateSwitch,980210,25,775,775,960.4191,0,NaN,1009.5227,NaN,0
rc_201.3,31,Feedback,980210,25,775,775,4309.2976,0,NaN,1085.8489,NaN,11
rc_201.3,31,Full,980210,25,775,775,960.4191,0,NaN,1009.5227,NaN,14
rc_201.3,31,PSO,980210,50,1550,1550,3762.1505,0,NaN,889.3119,NaN,0
