instance,nCustomers,method,seed,checkpoint_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost
rc_204.1,45,PSO_FeasibilityRelocate,930308,2250,2250,5418.3049,0,NaN,1455.6996
rc_204.1,45,RandomKeyPSO,930309,1125,1120,8894.7269,0,NaN,1919.5615
rc_204.1,45,RandomKeyPSO,930309,2250,2250,5309.8842,0,NaN,1591.7028
rc_204.1,45,PSO_GlobalRelocate,930309,1125,1100,6288.4489,0,NaN,1642.1115
rc_204.1,45,PSO_GlobalRelocate,930309,2250,2250,3048.0533,0,NaN,1481.462
rc_204.1,45,PSO_FeasibilityRelocate,930309,1125,1100,2435.2657,0,NaN,1233.5703
rc_204.1,45,PSO_FeasibilityRelocate,930309,2250,2250,1404.8882,0,NaN,1103.2733
rc_204.1,45,RandomKeyPSO,930310,1125,1120,8807.5039,0,NaN,1738.559
rc_204.1,45,RandomKeyPSO,930310,2250,2250,7380.4943,0,NaN,1654.2218
rc_204.1,45,PSO_GlobalRelocate,930310,1125,1100,6228.1798,0,NaN,1509.6705
rc_204.1,45,PSO_GlobalRelocate,930310,2250,2250,3039.2056,0,NaN,1321.4634
rc_204.1,45,PSO_FeasibilityRelocate,930310,1125,1100,2629.3777,0,NaN,1388.0864
rc_204.1,45,PSO_FeasibilityRelocate,930310,2250,2250,1494.6898,0,NaN,1201.187
