level,strategy,budget,event_index,mean_response_time,mean_total_fe,mean_fitness,mean_late,mean_route_disruption,feasibility_rate,mean_relative_gap
Severe,Restart,1500,1,0.6824568,1500,3226.98129637631,0,0.472027972027972,1,0.0885035485195747
Severe,Restart,1500,2,2.08259225,1500,8962.94213765172,56.464199844834,0.422222222222222,0.5,0.65129033418512
Severe,Restart,2500,1,0.7073713,2490,3343.71143959393,0,0.472027972027972,1,0.201796656547803
Severe,Restart,2500,2,2.13989735,2490,7538.74595411376,41.1334008890828,0.323863636363636,0,1.38809467513592
Severe,WarmStart,500,1,0.5831574,491.5,2976.72299015862,0,0.129370629370629,1,0
Severe,WarmStart,500,2,2.1701993,500,6281.35236165472,28.5223140179977,0,0,0
Severe,WarmStart,1000,1,0.6349071,986.5,2976.72299015862,0,0.129370629370629,1,0.0424487581677638
Severe,WarmStart,1000,2,2.18164065,980,5660.85188559056,22.7946173158669,0.05,0,0.18042561433547
Severe,WarmStart,1500,1,0.64205595,1477.5,2971.31773030887,0,0.174825174825175,1,0
Severe,WarmStart,1500,2,2.2076652,1490,5661.76535395997,21.6484135036072,0.05,0,0.360643406096358
Severe,WarmStart,2500,1,0.6946043,2482.5,2776.56707399654,0,0.297202797202798,1,0
Severe,WarmStart,2500,2,2.1506226,2480,3112.65670281891,3.2716001030941,0.0555555555555555,0.5,0
