level,instance,scenario_seed,algorithm_seed,strategy,budget,event_index,event_time,event_type,event_size,reused_legs,computed_legs,online_leg_time,warm_start_time,routing_or_repair_time,response_time,warm_start_fe,routing_or_repair_fe,total_fe,final_fitness,distance,total_late,obstacle_violation,route_disruption,is_feasible,first_feasible_fe,reference_found,reference_fe,reference_cost,state_x,state_y,state_z,state_time,relative_gap_to_best
Mild,2,3002,7202,WarmStart,1000,2,150,add,1,144,66,0.9395679,0.0051551,0.0581175,1.0028405,70,930,1000,5885.77717698193,3127.4347329324,27.5834244404953,0,0,0,Inf,0,Inf,7172.28337683826,340.475920832573,300,375,150,0.769368041645047
Mild,2,3002,7203,WarmStart,1500,1,90,cancel,1,225,47,0.6770294,0.0037142,0.1002287,0.7809723,48,1440,1488,4416.66146188871,4416.66146188871,0,0,0.266666666666667,1,588,0,Inf,6229.28501242683,430,500,375,90,0
Mild,2,3002,7203,WarmStart,1500,2,150,add,1,144,66,0.955014,0.0046207,0.0865331,1.0461678,72,1410,1482,4525.89376760867,3647.69251875013,8.78201248858534,0,0,0,Inf,0,Inf,4706.36435060735,420,120,375,150,0
Mild,2,3002,7204,WarmStart,2500,1,90,cancel,1,225,47,0.6968727,0.003573,0.1639644,0.8644101,47,2430,2477,4436.33405190668,4436.33405190668,0,0,0.333333333333333,1,1398,0,Inf,6229.28501242683,430,500,375,90,0.331415734614546
Mild,2,3002,7204,WarmStart,2500,2,150,add,1,144,66,0.9461902,0.0048748,0.1460531,1.0971181,73,2400,2473,4258.8251297298,3594.27879117436,6.64546338555442,0,0,0,Inf,0,Inf,3164.62043496268,420,179.816882091305,375,150,0
Mild,2,3002,7201,Repair,500,1,90,cancel,1,225,47,0.6782101,0,0.0007454,0.6789555,0,1,1,7588.17925087987,5061.23662220237,25.2694262867751,0,0,0,Inf,0,Inf,6229.28501242683,430,500,375,90,0.206043783378655
Mild,2,3002,7201,Repair,500,2,150,add,1,144,66,0.9507121,0,0.0020645,0.9527766,0,14,14,9668.12599668015,4296.77471255154,53.7135128412861,0,0,0,Inf,0,Inf,6265.49047969365,420,300,375,150,0.274939607990512
Mild,2,3002,7202,Repair,1000,1,90,cancel,1,225,47,0.6780971,0,0.0002001,0.6782972,0,1,1,7588.17925087987,5061.23662220237,25.2694262867751,0,0,0,Inf,0,Inf,6229.28501242683,430,500,375,90,0.71642740834344
Mild,2,3002,7202,Repair,1000,2,150,add,1,144,66,1.0354816,0,0.0008846,1.0363662,0,14,14,9668.12599668015,4296.77471255154,53.7135128412861,0,0,0,Inf,0,Inf,6265.49047969365,420,300,375,150,1.90640855858822
Mild,2,3002,7203,Repair,1500,1,90,cancel,1,225,47,0.6849882,0,0.0001134,0.6851016,0,1,1,7588.17925087987,5061.23662220237,25.2694262867751,0,0,0,Inf,0,Inf,6229.28501242683,430,500,375,90,0.718080345609037
Mild,2,3002,7203,Repair,1500,2,150,add,1,144,66,0.9604467,0,0.0012654,0.9617121,0,14,14,9668.12599668015,4296.77471255154,53.7135128412861,0,0,0,Inf,0,Inf,6265.49047969365,420,300,375,150,1.13618049673942
Mild,2,3002,7204,Repair,2500,1,90,cancel,1,225,47,0.6760646,0,0.0001049,0.6761695,0,1,1,7588.17925087987,5061.23662220237,25.2694262867751,0,0,0,Inf,0,Inf,6229.28501242683,430,500,375,90,1.27733555081474
Mild,2,3002,7204,Repair,2500,2,150,add,1,144,66,0.9500658,0,0.0008568,0.9509226,0,14,14,9668.12599668015,4296.77471255154,53.7135128412861,0,0,0,Inf,0,Inf,6265.49047969365,420,300,375,150,1.27013922905389
Moderate,1,3001,7101,Restart,500,1,90,cancel,2,196,44,0.646816,0,0.0335973,0.6804133,0,480,480,3525.28941752385,3525.28941752385,0,0,0.5,1,212,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0
Moderate,1,3001,7101,Restart,500,2,150,add,2,144,96,1.4107743,0,0.0321213,1.4428956,0,480,480,17660.5946626633,4583.1467784435,130.774478842198,0,0.75,0,Inf,0,Inf,6649.19184222346,850,500,375,150,2.28637848445887
Moderate,1,3001,7102,Restart,1000,1,90,cancel,2,196,44,0.6403793,0,0.0683672,0.7087465,0,990,990,4199.12104938253,4199.12104938253,0,0,0.428571428571429,1,503,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.0507330463563621
Moderate,1,3001,7102,Restart,1000,2,150,add,2,144,96,1.3942848,0,0.0683422,1.462627,0,990,990,13419.1292298735,4038.29865230652,93.80830577567,0,0.416666666666667,0,Inf,0,Inf,4831.78422953427,537.495087689875,622.226588720111,375,150,1.5051646745579
Moderate,1,3001,7103,Restart,1500,1,90,cancel,2,196,44,0.6401679,0,0.0984592,0.7386271,0,1500,1500,3821.34056476694,3821.34056476694,0,0,0.571428571428571,1,435,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0
Moderate,1,3001,7103,Restart,1500,2,150,add,2,121,89,1.3382883,0,0.0950212,1.4333095,0,1500,1500,3474.78267419484,3461.21180074583,0.135708734490152,0,0.272727272727273,0,Inf,0,Inf,5428.91487192242,120,700,375,150,0
Moderate,1,3001,7104,Restart,2500,1,90,cancel,2,196,44,0.6346105,0,0.1652138,0.7998243,0,2490,2490,4393.12866764074,4393.12866764074,0,0,0.5,1,442,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.0992789714086457
Moderate,1,3001,7104,Restart,2500,2,150,add,2,144,96,1.4008443,0,0.1641715,1.5650158,0,2490,2490,9941.41573574051,3653.32957354831,62.880861621922,0,0.583333333333333,0,Inf,0,Inf,4711.54668244648,610,500,375,150,1.15806825349303
Moderate,1,3001,7101,WarmStart,500,1,90,cancel,2,196,44,0.6502724,0.0036904,0.0306636,0.6846264,46,450,496,3996.37287886192,3996.37287886192,0,0,0.285714285714286,1,47,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.133629726681833
Moderate,1,3001,7101,WarmStart,500,2,150,add,2,144,96,1.3945638,0.0156924,0.020532,1.4307882,200,300,500,5373.87727742846,3559.16287749832,18.1471439993014,0,0,0,Inf,0,Inf,4167.21967111602,610,500,375,150,0
Moderate,1,3001,7102,WarmStart,1000,1,90,cancel,2,196,44,0.6452555,0.0033899,0.0642875,0.7129329,46,930,976,3996.37287886192,3996.37287886192,0,0,0.285714285714286,1,47,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0
Moderate,1,3001,7102,WarmStart,1000,2,150,add,2,144,96,1.4243582,0.0142999,0.0532019,1.49186,200,780,980,5356.58568323125,3555.70455865888,18.0088112457237,0,0.0833333333333334,0,Inf,0,Inf,4167.21967111602,610,500,375,150,0
Moderate,1,3001,7103,WarmStart,1500,1,90,cancel,2,196,44,0.64478,0.0037484,0.0950132,0.7435416,42,1440,1482,3882.91491864642,3882.91491864642,0,0,0.285714285714286,1,43,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.0161132861193269
Moderate,1,3001,7103,WarmStart,1500,2,150,add,2,144,96,1.4185623,0.0133978,0.0846257,1.5165858,200,1290,1490,4225.06440692409,3571.26814729168,6.53796259632418,0,0,0,Inf,0,Inf,6649.19184222346,850,500,375,150,0.21592191600964
Moderate,1,3001,7104,WarmStart,2500,1,90,cancel,2,196,44,0.6451136,0.0036691,0.1747016,0.8234843,49,2430,2479,3996.37287886192,3996.37287886192,0,0,0.285714285714286,1,50,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0
Moderate,1,3001,7104,WarmStart,2500,2,150,add,2,144,96,1.4285841,0.0134001,0.1488467,1.5908309,200,2280,2480,4606.627116473,3647.58068920146,9.59046427271539,0,0.0833333333333334,0,Inf,0,Inf,4167.21967111602,610,500,375,150,0
Moderate,1,3001,7101,Repair,500,1,90,cancel,2,196,44,0.6525831,0,0.0010958,0.6536789,0,1,1,4745.1574558345,4745.1574558345,0,0,0,1,1,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.346033444019323
Moderate,1,3001,7101,Repair,500,2,150,add,2,144,96,1.3949539,0,0.0035187,1.3984726,0,28,28,9780.79468110471,4268.04431150616,55.1275036959855,0,0,0,Inf,0,Inf,4167.21967111602,610,500,375,150,0.820062903592222
Moderate,1,3001,7102,Repair,1000,1,90,cancel,2,196,44,0.6445226,0,0.0001027,0.6446253,0,1,1,4745.1574558345,4745.1574558345,0,0,0,1,1,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.187366044077903
