dataset,level,instance,seed_index,algorithm_seed,k,free_count,preprocess_fe,search_fe,total_fe,bks_cost,cost,gap_to_bks,improvement_over_repair,unique_route_ratio,route_change_rate,improvement_count,last_improvement_fe,is_feasible
addition_stress_instances,Near,4,2,22402,Inf,19,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.95959595959596,0.983350676378772,1,394,1
addition_stress_instances,Near,4,3,22403,0,2,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.101010101010101,0.85639958376691,1,108,1
addition_stress_instances,Near,4,3,22403,2,4,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.324242424242424,0.95213319458897,2,235,1
addition_stress_instances,Near,4,3,22403,4,6,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.535353535353535,0.960457856399584,2,298,1
addition_stress_instances,Near,4,3,22403,6,8,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.657575757575758,0.978147762747138,2,322,1
addition_stress_instances,Near,4,3,22403,8,10,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.83030303030303,0.971904266389178,2,571,1
addition_stress_instances,Near,4,3,22403,12,14,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.887878787878788,0.964620187304891,1,815,1
addition_stress_instances,Near,4,3,22403,Inf,19,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.955555555555556,0.967741935483871,1,873,1
addition_stress_instances,Near,4,4,22404,0,2,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.098989898989899,0.921956295525494,1,174,1
addition_stress_instances,Near,4,4,22404,2,4,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.335353535353535,0.962539021852237,1,63,1
addition_stress_instances,Near,4,4,22404,4,6,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.508080808080808,0.975026014568158,1,66,1
addition_stress_instances,Near,4,4,22404,6,8,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.7,0.976066597294485,1,285,1
addition_stress_instances,Near,4,4,22404,8,10,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.861616161616162,0.982310093652445,2,765,1
addition_stress_instances,Near,4,4,22404,12,14,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.896969696969697,0.981269510926119,1,398,1
addition_stress_instances,Near,4,4,22404,Inf,19,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.967676767676768,0.979188345473465,1,584,1
addition_stress_instances,Near,4,5,22405,0,2,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.097979797979798,0.895941727367326,1,73,1
addition_stress_instances,Near,4,5,22405,2,4,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.309090909090909,0.977107180020812,2,68,1
addition_stress_instances,Near,4,5,22405,4,6,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.506060606060606,0.971904266389178,2,426,1
addition_stress_instances,Near,4,5,22405,6,8,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.695959595959596,0.985431841831426,1,271,1
addition_stress_instances,Near,4,5,22405,8,10,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.797979797979798,0.969823100936524,1,706,1
addition_stress_instances,Near,4,5,22405,12,14,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.870707070707071,0.977107180020812,1,340,1
addition_stress_instances,Near,4,5,22405,Inf,19,39,991,1030,3728.2273394107,3748.57443156662,0.00545757817417261,0,0.952525252525253,0.965660770031218,0,0,1
addition_stress_instances,Tight,1,1,22501,0,2,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.097979797979798,0.845993756503642,1,95,1
addition_stress_instances,Tight,1,1,22501,2,4,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.351515151515152,0.953173777315297,1,393,1
