dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,local_budget,pso_improvement_per_fe,local_improvement_per_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe,feasibility_mode_fe,quality_mode_fe,improvement_per_100_local_fe,mean_local_budget,mode
addition_instances,M1,9,6109,6819006,add,1,AdaptiveMemeticPSO,6,1000,984,77,427,38,0,0,0.3097594,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1263,0.158353127474268,33.2368421052632,quality-relocate
addition_instances,M1,9,6109,6819006,add,1,AdaptiveMemeticPSO,6,1500,1460,77,693,38,0,0,0.3097594,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1263,0.158353127474268,33.2368421052632,quality-relocate
addition_instances,M1,9,6109,6819006,add,1,AdaptiveMemeticPSO,6,2500,2500,77,1263,0,0,0,0.3097594,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1263,0.158353127474268,33.2368421052632,quality-relocate
addition_instances,M1,9,6109,6819007,add,1,Repair,7,500,19,0,0,0,NaN,NaN,0.0020316,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819007,add,1,Repair,7,1000,19,0,0,0,NaN,NaN,0.0020316,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819007,add,1,Repair,7,1500,19,0,0,0,NaN,NaN,0.0020316,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819007,add,1,Repair,7,2500,19,0,0,0,NaN,NaN,0.0020316,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819007,add,1,WarmPSO,7,500,498,78,0,25,NaN,NaN,0.2703461,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,79,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819007,add,1,WarmPSO,7,1000,978,78,0,25,NaN,NaN,0.2703461,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,79,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819007,add,1,WarmPSO,7,1500,1488,78,0,25,NaN,NaN,0.2703461,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,79,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819007,add,1,WarmPSO,7,2500,2478,78,0,25,NaN,NaN,0.2703461,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,79,0,0,0,25,WarmPSO
