stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
Far,3,8203,Restart,2500,0,2490,2490,0.234182,4929.75603116475,4929.75603116475,0,1,0.12803480622485,0.529411764705882,0.191608173107545,4137.06127770897
Far,3,8203,WarmStart,500,200,300,500,0.0473993,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,3,8203,WarmStart,1000,200,780,980,0.0989815,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,3,8203,WarmStart,1500,200,1290,1490,0.1342007,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,3,8203,WarmStart,2500,200,2280,2480,0.2304346,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,3,8203,Repair,500,0,38,38,0.0032921,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,3,8203,Repair,1000,0,38,38,0.0034454,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,3,8203,Repair,1500,0,38,38,0.0032527,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,3,8203,Repair,2500,0,38,38,0.0031031,4137.06127770897,4137.06127770897,0,1,-0.0533508986573199,0,0,4137.06127770897
Far,4,8204,Restart,500,0,480,480,0.094826,6262.94767486723,6262.94767486723,0,1,0.0507708926973303,0.529411764705882,0.520769984878507,4118.27412241278
Far,4,8204,Restart,1000,0,990,990,0.1333886,5308.7473533771,5308.7473533771,0,1,-0.109320804643174,0.470588235294118,0.289070905815967,4118.27412241278
Far,4,8204,Restart,1500,0,1500,1500,0.1915125,4981.9945281271,4981.9945281271,0,1,-0.164142012755312,0.588235294117647,0.209728731026843,4118.27412241278
Far,4,8204,Restart,2500,0,2490,2490,0.263217,5536.85343607461,5536.85343607461,0,1,-0.0710501301000042,0.411764705882353,0.344459662347761,4118.27412241278
Far,4,8204,WarmStart,500,200,300,500,0.0471743,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,4,8204,WarmStart,1000,200,780,980,0.1104808,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,4,8204,WarmStart,1500,200,1290,1490,0.1882124,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,4,8204,WarmStart,2500,200,2280,2480,0.2477803,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,4,8204,Repair,500,0,38,38,0.0037947,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,4,8204,Repair,1000,0,38,38,0.0032289,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,4,8204,Repair,1500,0,38,38,0.0031184,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,4,8204,Repair,2500,0,38,38,0.0031795,4118.27412241278,4118.27412241278,0,1,-0.30905337220916,0,0,4118.27412241278
Far,5,8205,Restart,500,0,480,480,0.0486866,6622.76557677712,6622.76557677712,0,1,0.119599179507752,0.411764705882353,0.642805713984665,4031.37481224937
Far,5,8205,Restart,1000,0,990,990,0.0862657,5714.35767418542,5714.35767418542,0,1,-0.0339700100716505,0.647058823529412,0.41747119539029,4031.37481224937
Far,5,8205,Restart,1500,0,1500,1500,0.1322146,5925.45552198711,5925.45552198711,0,1,0.00171673958824583,0.705882352941176,0.469834931741538,4031.37481224937
Far,5,8205,Restart,2500,0,2490,2490,0.2319705,5118.21435026695,5118.21435026695,0,1,-0.134749898562425,0.588235294117647,0.269595259343093,4031.37481224937
Far,5,8205,WarmStart,500,200,300,500,0.0479365,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
Far,5,8205,WarmStart,1000,200,780,980,0.0952883,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
Far,5,8205,WarmStart,1500,200,1290,1490,0.1311105,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
