instance,route_index,route_source,feature,direction,spearman_rho,oracle_rank,normalized_rank,selected_gain,oracle_gain,gain_capture,selected_source_improves
rc_201.1,21,first-feasible,removal_saving,min,0.619604080185329,18,0.944444444444444,0,54.5940000000001,0,0
rc_201.1,21,first-feasible,slack,max,0.227553928226857,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,21,first-feasible,slack,min,0.227553928226857,12,0.611111111111111,0,54.5940000000001,0,0
rc_201.1,21,first-feasible,waiting,max,0.00718388021693022,18,0.944444444444444,0,54.5940000000001,0,0
rc_201.1,21,first-feasible,waiting,min,0.00718388021693022,8,0.388888888888889,0,54.5940000000001,0,0
rc_201.1,21,first-feasible,local_travel,max,0.234252933752555,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,21,first-feasible,local_travel,min,0.234252933752555,17,0.888888888888889,0,54.5940000000001,0,0
rc_201.1,22,first-feasible,removal_saving,max,0.907852792278553,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,22,first-feasible,removal_saving,min,0.907852792278553,19,1,0,54.5940000000001,0,0
rc_201.1,22,first-feasible,slack,max,0.357918200409903,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,22,first-feasible,slack,min,0.357918200409903,8,0.388888888888889,19.2777,54.5940000000001,0.353110231893614,1
rc_201.1,22,first-feasible,waiting,max,0.522685929109753,3,0.111111111111111,44.0386999999999,54.5940000000001,0.806658240832323,1
rc_201.1,22,first-feasible,waiting,min,0.522685929109753,15,0.777777777777778,0,54.5940000000001,0,0
rc_201.1,22,first-feasible,local_travel,max,0.627695094661343,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,22,first-feasible,local_travel,min,0.627695094661343,12,0.611111111111111,3.92579999999998,54.5940000000001,0.0719090009891192,1
rc_201.1,23,first-feasible,removal_saving,max,0.508771008923399,1,0,61.6012000000001,61.6012000000001,1,1
rc_201.1,23,first-feasible,removal_saving,min,0.508771008923399,18,0.944444444444444,0,61.6012000000001,0,0
rc_201.1,23,first-feasible,slack,max,-0.0427544312301749,8,0.388888888888889,0,61.6012000000001,0,0
rc_201.1,23,first-feasible,slack,min,-0.0427544312301749,13,0.666666666666667,0,61.6012000000001,0,0
rc_201.1,23,first-feasible,waiting,max,-0.377953789860141,18,0.944444444444444,0,61.6012000000001,0,0
rc_201.1,23,first-feasible,waiting,min,-0.377953789860141,1,0,61.6012000000001,61.6012000000001,1,1
rc_201.1,23,first-feasible,local_travel,max,-0.0871599736402636,1,0,61.6012000000001,61.6012000000001,1,1
rc_201.1,23,first-feasible,local_travel,min,-0.0871599736402636,17,0.888888888888889,0,61.6012000000001,0,0
rc_201.1,24,first-feasible,removal_saving,max,0.830173108289282,1,0,87.0967000000001,87.0967000000001,1,1
rc_201.1,24,first-feasible,removal_saving,min,0.830173108289282,14,0.722222222222222,0,87.0967000000001,0,0
rc_201.1,24,first-feasible,slack,max,0.150525893261243,2,0.0555555555555556,44.0386999999999,87.0967000000001,0.505629949240325,1
rc_201.1,24,first-feasible,slack,min,0.150525893261243,11,0.555555555555556,2.62690000000009,87.0967000000001,0.0301607293961779,1
rc_201.1,24,first-feasible,waiting,max,0.335657614475819,2,0.0555555555555556,44.0386999999999,87.0967000000001,0.505629949240325,1
rc_201.1,24,first-feasible,waiting,min,0.335657614475819,12,0.611111111111111,0,87.0967000000001,0,0
rc_201.1,24,first-feasible,local_travel,max,0.426033891836368,1,0,87.0967000000001,87.0967000000001,1,1
rc_201.1,24,first-feasible,local_travel,min,0.426033891836368,15,0.777777777777778,0,87.0967000000001,0,0
rc_201.1,25,first-feasible,removal_saving,max,0.496013656619546,8,0.388888888888889,0,30.3584,0,0
rc_201.1,25,first-feasible,removal_saving,min,0.496013656619546,18,0.944444444444444,0,30.3584,0,0
rc_201.1,25,first-feasible,slack,max,0.0136133192529332,1,0,30.3584,30.3584,1,1
rc_201.1,25,first-feasible,slack,min,0.0136133192529332,11,0.555555555555556,0,30.3584,0,0
rc_201.1,25,first-feasible,waiting,max,0.13548980744951,18,0.944444444444444,0,30.3584,0,0
rc_201.1,25,first-feasible,waiting,min,0.13548980744951,6,0.277777777777778,0,30.3584,0,0
rc_201.1,25,first-feasible,local_travel,max,0.0532252097285814,8,0.388888888888889,0,30.3584,0,0
rc_201.1,25,first-feasible,local_travel,min,0.0532252097285814,17,0.888888888888889,0,30.3584,0,0
rc_201.3,2,first-feasible,removal_saving,max,0.575199328547611,2,0.0333333333333333,10.4807000000001,22.1463,0.473248352998022,1
rc_201.3,2,first-feasible,removal_saving,min,0.575199328547611,16,0.5,0,22.1463,0,0
rc_201.3,2,first-feasible,slack,max,-0.20219900189823,12,0.366666666666667,0,22.1463,0,0
rc_201.3,2,first-feasible,slack,min,-0.20219900189823,1,0,22.1463,22.1463,1,1
rc_201.3,2,first-feasible,waiting,max,-0.220119681134862,25,0.8,0,22.1463,0,0
rc_201.3,2,first-feasible,waiting,min,-0.220119681134862,11,0.333333333333333,0,22.1463,0,0
rc_201.3,2,first-feasible,local_travel,max,0.0340067170594027,29,0.933333333333333,0,22.1463,0,0
rc_201.3,2,first-feasible,local_travel,min,0.0340067170594027,15,0.466666666666667,0,22.1463,0,0
rc_201.3,3,first-feasible,removal_saving,max,0.359000723460666,31,1,0,12.5156999999999,0,0
rc_201.3,3,first-feasible,removal_saving,min,0.359000723460666,11,0.333333333333333,0,12.5156999999999,0,0
