dataset,level,instance,strategy,algorithm_seed,checkpoint_fe,actual_fe,cost,gap_to_witness_bks,is_feasible,warm_start_fe,response_time,bks_cost,gap_to_bks
addition_instances,M2,5,Restart,1001501,500,480,6135.53452593139,0.756654630451628,1,0,0.2312561,3492.73808270097,0.756654630451625
addition_instances,M2,5,Restart,1001501,1000,990,6108.34802776788,0.748870909622927,1,0,0.2312561,3492.73808270097,0.748870909622926
addition_instances,M2,5,Restart,1001501,1500,1500,5837.69063696349,0.671379444647378,1,0,0.2312561,3492.73808270097,0.671379444647376
addition_instances,M2,5,Restart,1001501,2500,2490,5750.22087636881,0.646336123755982,1,0,0.2312561,3492.73808270097,0.64633612375598
addition_instances,M2,5,WarmStart,1001502,500,500,3492.73808270097,0,1,200,0.2331612,3492.73808270097,0
addition_instances,M2,5,WarmStart,1001502,1000,980,3492.73808270097,0,1,200,0.2331612,3492.73808270097,0
addition_instances,M2,5,WarmStart,1001502,1500,1490,3492.73808270097,0,1,200,0.2331612,3492.73808270097,0
addition_instances,M2,5,WarmStart,1001502,2500,2480,3492.73808270097,0,1,200,0.2331612,3492.73808270097,0
addition_instances,M2,5,Repair,1001503,500,38,3492.73808270097,0,1,0,0.0029012,3492.73808270097,0
addition_instances,M2,5,Repair,1001503,1000,38,3492.73808270097,0,1,0,0.0029012,3492.73808270097,0
addition_instances,M2,5,Repair,1001503,1500,38,3492.73808270097,0,1,0,0.0029012,3492.73808270097,0
addition_instances,M2,5,Repair,1001503,2500,38,3492.73808270097,0,1,0,0.0029012,3492.73808270097,0
addition_instances,M2,6,Restart,1001601,500,480,5366.07219811614,0.537058524413815,1,0,0.2636667,3491.13069729247,0.537058524413816
addition_instances,M2,6,Restart,1001601,1000,990,4774.24286345315,0.367534841120613,1,0,0.2636667,3491.13069729247,0.367534841120612
addition_instances,M2,6,Restart,1001601,1500,1500,4477.83175513474,0.282630798843338,1,0,0.2636667,3491.13069729247,0.282630798843338
addition_instances,M2,6,Restart,1001601,2500,2490,4417.0887523568,0.265231564026649,1,0,0.2636667,3491.13069729247,0.26523156402665
