dataset,level,instance,strategy,budget,gap_to_bks,insertion_ratio,mean_detour_ratio,max_detour_ratio,min_slack,critical_count,n_add
addition_instances,M2,9,Restart,1500,0.266191117553361,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,Restart,2500,0.0915716375603095,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,WarmStart,500,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,WarmStart,1000,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,WarmStart,1500,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,WarmStart,2500,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,Repair,500,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,Repair,1000,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,Repair,1500,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,Repair,2500,0.000979156425000588,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,10,Restart,500,0.719478402699278,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,Restart,1000,0.689355201528052,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,Restart,1500,0.384387685352452,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,Restart,2500,0.329791409419484,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,WarmStart,500,0,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,WarmStart,1000,0,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,WarmStart,1500,0,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,WarmStart,2500,0,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,Repair,500,0,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,Repair,1000,0,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,Repair,1500,0,0.000414006954072155,1,1,80,0,2
addition_instances,M2,10,Repair,2500,0,0.000414006954072155,1,1,80,0,2
addition_instances,M4,1,Restart,500,0.895141317235533,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,Restart,1000,0.861219007300567,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,Restart,1500,0.955130640921275,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,Restart,2500,0.70685388382456,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,WarmStart,500,0.0426157724807296,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,WarmStart,1000,0,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,WarmStart,1500,0,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,WarmStart,2500,0.0991373284528863,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,Repair,500,0,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,Repair,1000,0,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,Repair,1500,0,0.000788403383370667,1,1,80,0,4
addition_instances,M4,1,Repair,2500,0,0.000788403383370667,1,1,80,0,4
addition_instances,M4,2,Restart,500,0.98898795324504,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,Restart,1000,0.764062629706499,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,Restart,1500,0.738603959078896,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,Restart,2500,0.497201118436572,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,WarmStart,500,0.0252963663208813,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,WarmStart,1000,0.0507469144136208,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,WarmStart,1500,0,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,WarmStart,2500,0,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,Repair,500,0,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,Repair,1000,0,0.00160918712680885,1,1,80,0,4
