level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Moderate,1,3201,9820,2,150,add,2,WarmStart,2500,UNKNOWN,NaN,169,103,200,2280,2480,0.1886823,12604.5792129464,3906.62857888126,86.9795063406513,0,0,NaN,0
Moderate,1,3201,7820,2,150,add,2,Repair,500,UNKNOWN,NaN,169,103,0,30,30,0.0044927,12604.5792129464,3906.62857888126,86.9795063406513,0,0,NaN,0
Moderate,1,3201,8320,2,150,add,2,Repair,1000,UNKNOWN,NaN,169,103,0,30,30,0.0022915,12604.5792129464,3906.62857888126,86.9795063406513,0,0,NaN,0
Moderate,1,3201,8820,2,150,add,2,Repair,1500,UNKNOWN,NaN,169,103,0,30,30,0.0021249,12604.5792129464,3906.62857888126,86.9795063406513,0,0,NaN,0
Moderate,1,3201,9820,2,150,add,2,Repair,2500,UNKNOWN,NaN,169,103,0,30,30,0.0023892,12604.5792129464,3906.62857888126,86.9795063406513,0,0,NaN,0
Moderate,2,3202,7910,1,90,cancel,2,Restart,500,FEASIBLE,3035.3499024659,169,41,0,480,480,0.0349833,3865.63072912922,3865.63072912922,0,0,1,0.27353710555373,0.230769230769231
Moderate,2,3202,8410,1,90,cancel,2,Restart,1000,FEASIBLE,3035.3499024659,169,41,0,990,990,0.0652152,3790.61391147172,3790.61391147172,0,0,1,0.24882271674585,0.461538461538462
Moderate,2,3202,8910,1,90,cancel,2,Restart,1500,FEASIBLE,3035.3499024659,169,41,0,1500,1500,0.1119034,3614.5138786011,3614.5138786011,0,0,1,0.190806330322804,0.769230769230769
Moderate,2,3202,9910,1,90,cancel,2,Restart,2500,FEASIBLE,3035.3499024659,169,41,0,2490,2490,0.1646827,3529.37441241232,3529.37441241232,0,0,1,0.162757021701213,0.538461538461538
Moderate,2,3202,7910,1,90,cancel,2,WarmStart,500,FEASIBLE,3035.3499024659,169,41,40,450,490,0.0328944,3442.56834432438,3442.56834432438,0,0,1,0.134158648901616,0.153846153846154
Moderate,2,3202,8410,1,90,cancel,2,WarmStart,1000,FEASIBLE,3035.3499024659,169,41,38,960,998,0.0658821,3442.56834432438,3442.56834432438,0,0,1,0.134158648901616,0.153846153846154
Moderate,2,3202,8910,1,90,cancel,2,WarmStart,1500,FEASIBLE,3035.3499024659,169,41,44,1440,1484,0.0943985,3442.56834432438,3442.56834432438,0,0,1,0.134158648901616,0.153846153846154
Moderate,2,3202,9910,1,90,cancel,2,WarmStart,2500,FEASIBLE,3035.3499024659,169,41,42,2430,2472,0.156037,3442.56834432438,3442.56834432438,0,0,1,0.134158648901616,0.153846153846154
Moderate,2,3202,7910,1,90,cancel,2,Repair,500,FEASIBLE,3035.3499024659,169,41,0,1,1,9.31e-05,3653.83004909374,3653.83004909374,0,0,1,0.203759094174083,0
Moderate,2,3202,8410,1,90,cancel,2,Repair,1000,FEASIBLE,3035.3499024659,169,41,0,1,1,7.24e-05,3653.83004909374,3653.83004909374,0,0,1,0.203759094174083,0
Moderate,2,3202,8910,1,90,cancel,2,Repair,1500,FEASIBLE,3035.3499024659,169,41,0,1,1,6.91e-05,3653.83004909374,3653.83004909374,0,0,1,0.203759094174083,0
Moderate,2,3202,9910,1,90,cancel,2,Repair,2500,FEASIBLE,3035.3499024659,169,41,0,1,1,6.5e-05,3653.83004909374,3653.83004909374,0,0,1,0.203759094174083,0
Moderate,2,3202,7920,2,150,add,2,Restart,500,UNKNOWN,NaN,144,96,0,480,480,0.0378157,15870.4049034125,3392.49642271726,124.779084806953,0,0,NaN,0.666666666666667
Moderate,2,3202,8420,2,150,add,2,Restart,1000,UNKNOWN,NaN,144,96,0,990,990,0.0760362,10119.7681765406,3473.68989023162,66.4607828630893,0,0,NaN,0.833333333333333
Moderate,2,3202,8920,2,150,add,2,Restart,1500,UNKNOWN,NaN,144,96,0,1500,1500,0.1266537,9667.78057635353,3969.30977008625,56.9847080626727,0,0,NaN,0.75
Moderate,2,3202,9920,2,150,add,2,Restart,2500,UNKNOWN,NaN,144,96,0,2490,2490,0.1708809,6558.9801505954,3363.32865450971,31.9565149608569,0,0,NaN,0.833333333333333
Moderate,2,3202,7920,2,150,add,2,WarmStart,500,UNKNOWN,NaN,144,96,200,300,500,0.0401037,13435.803808953,3422.07573373451,100.137280752184,0,0,NaN,0.0833333333333334
Moderate,2,3202,8420,2,150,add,2,WarmStart,1000,UNKNOWN,NaN,144,96,200,780,980,0.0695675,13435.803808953,3422.07573373451,100.137280752184,0,0,NaN,0.0833333333333334
Moderate,2,3202,8920,2,150,add,2,WarmStart,1500,UNKNOWN,NaN,144,96,200,1290,1490,0.1068139,13435.803808953,3422.07573373451,100.137280752184,0,0,NaN,0.0833333333333334
Moderate,2,3202,9920,2,150,add,2,WarmStart,2500,UNKNOWN,NaN,144,96,200,2280,2480,0.1690541,13435.803808953,3422.07573373451,100.137280752184,0,0,NaN,0.0833333333333334
Moderate,2,3202,7920,2,150,add,2,Repair,500,UNKNOWN,NaN,144,96,0,28,28,0.0019682,16772.4852989221,3636.63982661063,131.358454723114,0,0,NaN,0
Moderate,2,3202,8420,2,150,add,2,Repair,1000,UNKNOWN,NaN,144,96,0,28,28,0.0019431,16772.4852989221,3636.63982661063,131.358454723114,0,0,NaN,0
Moderate,2,3202,8920,2,150,add,2,Repair,1500,UNKNOWN,NaN,144,96,0,28,28,0.0016997,16772.4852989221,3636.63982661063,131.358454723114,0,0,NaN,0
Moderate,2,3202,9920,2,150,add,2,Repair,2500,UNKNOWN,NaN,144,96,0,28,28,0.0016822,16772.4852989221,3636.63982661063,131.358454723114,0,0,NaN,0
Severe,1,3301,7810,1,90,cancel,4,Restart,500,FEASIBLE,2792.46391646407,144,38,0,480,480,0.0374937,4015.858351521,4015.858351521,0,0,1,0.4381057272912,0.75
Severe,1,3301,8310,1,90,cancel,4,Restart,1000,FEASIBLE,2792.46391646407,144,38,0,990,990,0.0680535,4463.44481646464,4463.44481646464,0,0,1,0.598389433127009,0.75
Severe,1,3301,8810,1,90,cancel,4,Restart,1500,FEASIBLE,2792.46391646407,144,38,0,1500,1500,0.0939386,4162.14526917575,4162.14526917575,0,0,1,0.490492050635347,0.583333333333333
Severe,1,3301,9810,1,90,cancel,4,Restart,2500,FEASIBLE,2792.46391646407,144,38,0,2490,2490,0.1510667,3030.84041876396,3030.84041876396,0,0,1,0.0853642193528238,0.75
Severe,1,3301,7810,1,90,cancel,4,WarmStart,500,FEASIBLE,2792.46391646407,144,38,35,450,485,0.0313281,3024.74008133441,3024.74008133441,0,0,1,0.0831796477300415,0.166666666666667
Severe,1,3301,8310,1,90,cancel,4,WarmStart,1000,FEASIBLE,2792.46391646407,144,38,39,960,999,0.0674229,3024.74008133441,3024.74008133441,0,0,1,0.0831796477300415,0.166666666666667
Severe,1,3301,8810,1,90,cancel,4,WarmStart,1500,FEASIBLE,2792.46391646407,144,38,40,1440,1480,0.1226404,3024.74008133441,3024.74008133441,0,0,1,0.0831796477300415,0.166666666666667
Severe,1,3301,9810,1,90,cancel,4,WarmStart,2500,FEASIBLE,2792.46391646407,144,38,39,2460,2499,0.1509451,3024.74008133441,3024.74008133441,0,0,1,0.0831796477300415,0.166666666666667
Severe,1,3301,7810,1,90,cancel,4,Repair,500,FEASIBLE,2792.46391646407,144,38,0,1,1,9.96e-05,3401.35951022306,3401.35951022306,0,0,1,0.218049583440992,0
Severe,1,3301,8310,1,90,cancel,4,Repair,1000,FEASIBLE,2792.46391646407,144,38,0,1,1,6.89e-05,3401.35951022306,3401.35951022306,0,0,1,0.218049583440992,0
Severe,1,3301,8810,1,90,cancel,4,Repair,1500,FEASIBLE,2792.46391646407,144,38,0,1,1,6.55e-05,3401.35951022306,3401.35951022306,0,0,1,0.218049583440992,0
Severe,1,3301,9810,1,90,cancel,4,Repair,2500,FEASIBLE,2792.46391646407,144,38,0,1,1,6.25e-05,3401.35951022306,3401.35951022306,0,0,1,0.218049583440992,0
Severe,1,3301,7820,2,150,add,4,Restart,500,UNKNOWN,NaN,169,173,0,480,480,0.0414706,60878.5342103064,5721.70902576944,551.568251845369,0,0,NaN,0.538461538461538
Severe,1,3301,8320,2,150,add,4,Restart,1000,UNKNOWN,NaN,169,173,0,990,990,0.0817444,61438.6553527153,5791.90327184863,556.467520808667,0,0,NaN,0.538461538461538
Severe,1,3301,8820,2,150,add,4,Restart,1500,UNKNOWN,NaN,169,173,0,1500,1500,0.1307286,34267.9806955602,5413.0451944574,288.549355011028,0,0,NaN,0.461538461538462
Severe,1,3301,9820,2,150,add,4,Restart,2500,UNKNOWN,NaN,169,173,0,2490,2490,0.2018298,42395.3801046564,5744.34560026437,366.51034504392,0,0,NaN,0.461538461538462
Severe,1,3301,7820,2,150,add,4,WarmStart,500,UNKNOWN,NaN,169,173,200,300,500,0.5191961,16977.7515303026,3763.902081277,132.138494490255,0,0,NaN,0.230769230769231
Severe,1,3301,8320,2,150,add,4,WarmStart,1000,UNKNOWN,NaN,169,173,200,780,980,0.5527586,15762.8982363879,3750.88094393366,120.120172924543,0,0,NaN,0.230769230769231
Severe,1,3301,8820,2,150,add,4,WarmStart,1500,UNKNOWN,NaN,169,173,200,1290,1490,0.5893896,15095.6902069814,3719.10913300954,113.765810739719,0,0,NaN,0.230769230769231
Severe,1,3301,9820,2,150,add,4,WarmStart,2500,UNKNOWN,NaN,169,173,200,2280,2480,0.6564357,12339.8304977021,3347.932720062,89.9189777764008,0,0,NaN,0.230769230769231
Severe,1,3301,7820,2,150,add,4,Repair,500,UNKNOWN,NaN,169,173,0,63,63,0.0041335,16914.0874096571,3805.6994759941,131.08387933663,0,0,NaN,0
Severe,1,3301,8320,2,150,add,4,Repair,1000,UNKNOWN,NaN,169,173,0,63,63,0.0040817,16914.0874096571,3805.6994759941,131.08387933663,0,0,NaN,0
Severe,1,3301,8820,2,150,add,4,Repair,1500,UNKNOWN,NaN,169,173,0,63,63,0.0039956,16914.0874096571,3805.6994759941,131.08387933663,0,0,NaN,0
Severe,1,3301,9820,2,150,add,4,Repair,2500,UNKNOWN,NaN,169,173,0,63,63,0.0040499,16914.0874096571,3805.6994759941,131.08387933663,0,0,NaN,0
Severe,2,3302,7910,1,90,cancel,4,Restart,500,FEASIBLE,2494.48255924152,144,38,0,480,480,0.0306081,3608.30616188982,3608.30616188982,0,0,1,0.446514888838098,0.25
Severe,2,3302,8410,1,90,cancel,4,Restart,1000,FEASIBLE,2494.48255924152,144,38,0,990,990,0.0624229,3452.45638942417,3452.45638942417,0,0,1,0.384037092836576,0.5
Severe,2,3302,8910,1,90,cancel,4,Restart,1500,FEASIBLE,2494.48255924152,144,38,0,1500,1500,0.0899097,3633.47425499175,3633.47425499175,0,0,1,0.4566043933763,0.333333333333333
Severe,2,3302,9910,1,90,cancel,4,Restart,2500,FEASIBLE,2494.48255924152,144,38,0,2490,2490,0.1517346,3257.51447007304,3257.51447007304,0,0,1,0.305887851572526,0.416666666666667
Severe,2,3302,7910,1,90,cancel,4,WarmStart,500,FEASIBLE,2494.48255924152,144,38,43,450,493,0.0310259,2835.33316442351,2835.33316442351,0,0,1,0.136641807303569,0.0833333333333334
Severe,2,3302,8410,1,90,cancel,4,WarmStart,1000,FEASIBLE,2494.48255924152,144,38,39,960,999,0.0652227,2864.03632672876,2864.03632672876,0,0,1,0.148148467151284,0.166666666666667
Severe,2,3302,8910,1,90,cancel,4,WarmStart,1500,FEASIBLE,2494.48255924152,144,38,39,1440,1479,0.0947531,2835.33316442351,2835.33316442351,0,0,1,0.136641807303569,0.0833333333333334
Severe,2,3302,9910,1,90,cancel,4,WarmStart,2500,FEASIBLE,2494.48255924152,144,38,39,2460,2499,0.153447,2835.33316442351,2835.33316442351,0,0,1,0.136641807303569,0.0833333333333334
Severe,2,3302,7910,1,90,cancel,4,Repair,500,FEASIBLE,2494.48255924152,144,38,0,1,1,9.83e-05,3685.81118691023,3685.81118691023,0,0,1,0.477585470884572,0
Severe,2,3302,8410,1,90,cancel,4,Repair,1000,FEASIBLE,2494.48255924152,144,38,0,1,1,6.99e-05,3685.81118691023,3685.81118691023,0,0,1,0.477585470884572,0
Severe,2,3302,8910,1,90,cancel,4,Repair,1500,FEASIBLE,2494.48255924152,144,38,0,1,1,6.82e-05,3685.81118691023,3685.81118691023,0,0,1,0.477585470884572,0
Severe,2,3302,9910,1,90,cancel,4,Repair,2500,FEASIBLE,2494.48255924152,144,38,0,1,1,6.89e-05,3685.81118691023,3685.81118691023,0,0,1,0.477585470884572,0
Severe,2,3302,7920,2,150,add,4,Restart,500,UNKNOWN,NaN,169,173,0,480,480,0.0402041,53992.6076107912,6631.65470117307,473.609529096182,0,0,NaN,0.461538461538462
Severe,2,3302,8420,2,150,add,4,Restart,1000,UNKNOWN,NaN,169,173,0,990,990,0.0828956,62994.5949239079,5153.09363605148,578.415012878564,0,0,NaN,0.692307692307692
Severe,2,3302,8920,2,150,add,4,Restart,1500,UNKNOWN,NaN,169,173,0,1500,1500,0.1250175,59401.1747763859,5267.43126547515,541.337435109107,0,0,NaN,0.615384615384615
Severe,2,3302,9920,2,150,add,4,Restart,2500,UNKNOWN,NaN,169,173,0,2490,2490,0.2054228,47371.353873346,4949.88607355726,424.214677997888,0,0,NaN,0.538461538461538
Severe,2,3302,7920,2,150,add,4,WarmStart,500,UNKNOWN,NaN,169,173,200,300,500,0.5002559,23258.4429053304,4446.45601169468,188.119868936357,0,0,NaN,0
Severe,2,3302,8420,2,150,add,4,WarmStart,1000,UNKNOWN,NaN,169,173,200,780,980,0.5415439,38566.8518735342,5503.56066122738,330.632912123068,0,0,NaN,0.230769230769231
